1700,3010.855225,3419.996826,6167.032715,3569.773926,2008.220947,4267.583496,5098.032715,6666.480957,7223.725098,6773.699707,5720.750488,9065.459961,9352.716797,6719.382324,4360.103516,7846.428711,12476.80859,4838.745117,6750.649414,8283.797852,8858.829102,11668.04199,8872.547852,9987.413086,7647.994141,11555.76465,14980.66211,8251.873047,8055.848145,8262.043945,7188.600098,15271.91992,6394.575195,11168.4541,14830.99609,12378.67676,14805.46973,19234.13477,7852.19043,12225.56641,5487.12207,9130.660156,10449.88184,14689.98047,14920.42773,9530.272461,9862.552734,5900.737793,6443.598145,14739.93457,8625.571289,12988.31738,6536.688965,9094.59375,6577.866211,14770.30957,15565.49023,7521.34082,17248.48438,16355.48145,13624.71191,8349.355469,13816.51465,10075.29688,17954.19531,19275.12109
1699,3009.372314,3437.383057,6174.61084,3576.246826,2003.190552,4282.000488,5102.232422,6692.56543,7235.454102,6782.836426,5742.628418,9080.490234,9369.429688,6724.876953,4368.166992,7849.937012,12521.81348,4830.26416,6765.060547,8327.113281,8847.208984,11708.13867,8908.18457,10004.79785,7660.68457,11576.93359,15000.62793,8244.513672,8059.322266,8271.510742,7184.186035,15295.39063,6415.381836,11191.2207,14827.67578,12394.62988,14813.89258,19253.53516,7866.193359,12249.97852,5495.384277,9165.866211,10442.73926,14691.1543,14940.73242,9582.849609,9871.643555,5911.351563,6463.569336,14783.5791,8650.745117,13010.23047,6555.733887,9101.789063,6578.878906,14798.63379,15584.68066,7495.26709,17261.73438,16404.10742,13627.30176,8370.053711,13809.19238,10126.30371,17991.13281,19316.15039
1698,3004.173584,3454.463623,6182.717773,3591.86792,2006.948608,4288.438477,5116.451172,6711.493164,7262.100098,6793.187012,5776.675781,9106.234375,9384.592773,6726.745605,4388.213379,7845.395508,12557.3125,4820.068848,6775.950684,8345.767578,8841.522461,11736.47266,8945.875,10048.06836,7688.739746,11610.74023,15036.78809,8251.050781,8074.058105,8287.285156,7180.275879,15318.6377,6440.194336,11214.73242,14839.00781,12426.03809,14820.10449,19276.64453,7893.973633,12285.68945,5514.729492,9197.948242,10453.87598,14718.32813,14975.4873,9631.557617,9880.428711,5910.823242,6495.245605,14818.98535,8670.654297,13039.16406,6574.539063,9111.006836,6581.683594,14833.63574,15607.3418,7490.774414,17284.38672,16471.625,13663.1875,8390.863281,13818.33984,10174.89551,18033.67383,19374.52148
1697,3005.03833,3447.276855,6180.781738,3618.299072,2018.868042,4282.726563,5134.071289,6711.801758,7300.413086,6807.01416,5800.911133,9147.234375,9389.671875,6748.423828,4406.736816,7856.468262,12574.75293,4833.14502,6779.320801,8333.474609,8866.077148,11739.62305,8958.46875,10073.35742,7716.541992,11639.07031,15079.92871,8291.524414,8105.67627,8295.96582,7204.380371,15358.32031,6460.736816,11234.89063,14878.53418,12471.79883,14844.35254,19318.86133,7907.472656,12321.66992,5529.336914,9196.362305,10501.08496,14775.71875,15021.59766,9635.556641,9896.426758,5897.563477,6527.715332,14839.00879,8669.021484,13079.09961,6583.537109,9132.458984,6593.166016,14867.79688,15631.49707,7534.271484,17327.52344,16514.1875,13743.56836,8412.628906,13880.19922,10183.4668,18071.93359,19441.15039
1696,3009.930908,3448.915771,6188.151855,3623.705566,2030.938477,4269.45459,5140.29248,6719.533203,7308.5,6815.257324,5793.080566,9156.986328,9400.289063,6764.030273,4420.875,7869.080078,12579.1582,4840.510254,6781.39209,8331.987305,8869.540039,11737.51074,8972.125,10075.59277,7729.716797,11647.67969,15101.85742,8313.651367,8125.691895,8306.516602,7220.305176,15365.06055,6470.97168,11251.47559,14922.55664,12507.30664,14883.0127,19338.95117,7911.794434,12342.86914,5538.27002,9213.34375,10517.38379,14805.42383,15025.12695,9637.458984,9898.115234,5902.738281,6527.132324,14867.8291,8667.769531,13101.28125,6598.766602,9143.161133,6604.555176,14875.97168,15642.99414,7563.046875,17361.39844,16525.38477,13761.0791,8418.270508,13904.41504,10195.47266,18102.4043,19488.74219
1695,3016.648438,3465.997803,6203.936035,3614.67627,2034.121216,4265.531738,5143.378906,6738.753906,7293.069336,6819.614258,5774.682129,9142.495117,9420.789063,6766.696289,4425.740234,7882.993164,12578.80273,4836.37207,6789.331055,8358.029297,8859.745117,11743.62598,8999.729492,10075.89453,7739.032715,11648.76953,15115.30957,8311.563477,8129.455566,8326.119141,7215.800293,15353.71387,6474.234863,11266.91602,14952.71484,12522.1377,14923.68359,19349.66406,7921.872559,12355.52539,5552.964355,9253.694336,10508.8457,14807.80664,15009.2334,9656.454102,9896.288086,5929.653809,6511.963379,14906.5752,8678.730469,13115.43555,6617.10791,9144.59375,6613.298828,14865.08789,15651.95703,7568.565918,17388.0625,16533.41602,13728.04883,8418.52832,13893.10156,10222.42578,18139.16602,19518.25391
1694,3023.586426,3477.545654,6209.249512,3628.772949,2023.199585,4291.072754,5167.722656,6752.193848,7301.103516,6831.508301,5796.03125,9155.416992,9444.132813,6770.714844,4417.099609,7910.478516,12584.0166,4839.432129,6809.48877,8398.401367,8893.444336,11762.13574,9034.647461,10107.95313,7770.091309,11672.69043,15161.70605,8323.489258,8135.470703,8356.18457,7207.475098,15390.82813,6480.361328,11285.09961,14963.61523,12523.25977,14950.85254,19406.03906,7951.93457,12380.41113,5588.626953,9277.407227,10541.93164,14833.92383,15055.03711,9682.581055,9924.665039,5954.375488,6537.734863,14935.44727,8699.444336,13158.95313,6618.938477,9158.913086,6623.739746,14870.33594,15685.23828,7593.366699,17435.24414,16582.76563,13758.58496,8444.263672,13929.15039,10241.56641,18203.20313,19554.63477
1693,3025.845215,3479.954346,6210.400879,3650.286377,2021.119873,4315.915039,5197.054688,6760.859863,7322.658691,6853.449707,5828.901367,9180.708008,9473.166992,6781.300781,4416.089844,7935.481934,12608.5332,4852.54248,6843.83252,8425.001953,8936.449219,11797.0957,9056.867188,10153.81152,7792.22168,11710.42969,15207.50195,8347.180664,8147.268066,8385.233398,7214.917969,15445.99316,6486.319824,11306.04297,14979.73438,12531.85059,14966.18652,19472.68945,7972.178711,12400.84863,5618.325684,9294.125,10577.08008,14872.02832,15119.18262,9711.860352,9949.488281,5964.068848,6567.975098,14958.27539,8719.491211,13192.83496,6610.192383,9172.451172,6637.432617,14906.9375,15722.58984,7626.54248,17477.44531,16637.4707,13827.83789,8476.150391,13977.77734,10253.03711,18255.71289,19596.88867
1692,3023.719482,3478.185547,6219.848145,3653.142822,2045.433105,4312.076172,5206.694336,6771.51709,7333.410645,6880.414551,5833.209961,9186.092773,9508.918945,6797.608398,4439.743164,7941.51123,12656.52051,4870.288574,6884.175781,8419.459961,8942.625,11841.40918,9056.030273,10181.89941,7776.260254,11740.71582,15215.25977,8368.092773,8164.034668,8402.589844,7246.362793,15468.5791,6486.192383,11329.42773,15019.72559,12561.18359,14982.03125,19500.1582,7958.677734,12403.2207,5613.51709,9319.339844,10566.2998,14894.73242,15139.19434,9738.273438,9937.302734,5957.776367,6558.145508,14985.1543,8731.788086,13177.69434,6607.869141,9170.962891,6654.286133,14966.32324,15738.9375,7644.458008,17488.05664,16657.46094,13872.73926,8485.59375,13984.10742,10265.70508,18263.19922,19638.66992
1691,3036.958496,3478.918701,6234.955078,3650.713379,2061.455811,4322.864746,5200.363281,6783.437988,7341.713379,6897.026367,5836.254395,9176.613281,9533.767578,6813.385742,4460.043457,7947.930664,12699.19727,4884.234375,6898.055664,8410.428711,8949.893555,11854.94336,9066.84375,10187.64063,7770.780273,11757.62988,15233.90625,8389.244141,8191.981934,8416.356445,7273.66748,15475.63672,6482.512695,11358.78613,15047.11719,12583.41895,15019.80762,19515.99805,7961.709473,12431.58203,5595.859863,9320.271484,10575.99023,14911.51855,15159.10645,9741.06543,9943.522461,5954.417969,6559.962891,15013.35645,8748.754883,13172.83789,6627.82666,9185.475586,6673.116699,14996.6123,15756.39941,7656.94873,17506.9668,16694.74023,13900.625,8482.267578,13989.20605,10283.2373,18285.22656,19691.84766
